Symbol,Name,AUM,Avg Volume
XLP,Consumer Staples Select Sector SPDR Fund,"$8,424,901.45 ","15,768,582"
IWP,iShares Russell Midcap Growth ETF,"$8,410,603.80 ","349,081"
VOE,Vanguard Mid-Cap Value ETF,"$8,321,549.03 ","348,532"
ACWI,iShares MSCI ACWI ETF,"$8,283,604.89 ","2,948,219"
GDX,VanEck Vectors Gold Miners ETF,"$8,274,256.36 ","42,751,605"
IEF,iShares 7-10 Year Treasury Bond ETF,"$8,242,660.21 ","3,304,931"
VFH,Vanguard Financials ETF,"$8,185,660.70 ","898,574"
FLOT,iShares Floating Rate Bond ETF,"$8,121,644.79 ","1,813,824"
IWV,iShares Russell 3000 ETF,"$8,097,623.27 ","379,795"
BKLN,PowerShares Senior Loan ETF,"$8,096,535.52 ","4,384,100"
MTUM,iShares Edge MSCI USA Momentum Factor ETF,"$7,781,492.40 ","1,129,142"
IJK,iShares S&P MidCap 400 Growth ETF,"$7,599,613.10 ","131,563"
IEI,iShares 3-7 Year Treasury Bond ETF,"$7,252,145.46 ","454,518"
VBK,Vanguard Small Cap Growth ETF,"$7,247,529.35 ","150,089"
CIU,iShares Intermediate Credit Bond ETF,"$7,187,389.64 ","412,308"
SCHD,Schwab US Dividend Equity ETF,"$7,151,141.22 ","1,083,702"
XLU,Utilities Select Sector SPDR Fund,"$7,004,401.88 ","20,480,152"
VHT,Vanguard Healthcare ETF,"$6,996,900.32 ","247,195"
